artist,song
10,rolling blackouts coastal fever,"I want to be there
When the morning breaks
Light in the dark
I want to be there
When your daughter paints
Her fingers

Write back (Write back)
Write back (Write back)
Come back (Come back)
Come back (Come back)

Given the chance, I'd take it
You walk my way, I'll be yours
Let your fingers tap
To the rhythm of my heart
We haven't met but I'll be right back

Write back (Write back)
Write back (Write back)
Come back (Come back)
Come back (Come back)

Cool wind cut through my heart
Wax the key to my part
Give into the green light flicker
You run the bath
And I'll warm the pasta, girl

Write back (Write back)
Write back (Write back)
Come back (Come back)
Come back (Come back)

Are you gonna be there
When the love is gone?"
11,bastille ,"So her fingers ran away with themselves
'Till everything was documented
Our mind it was reaching out
To put into words what their bodies had done

They lie together, oh
Oil on water
And they lie upon her, oh
Someone's daughter

It's a catalogue of modern mistakes
Her words and legs wrapped around each man
Leaving stories like digital crumbs
As she turns these nights into literature

They lie together, oh
Oil on water
And they lie upon her, oh
Someone's daughter

When they leave she sets about writing down
Awkward body games all over town
Warm affection runs through every word
We're screens away but we're laughing with her

They lie together, oh
Oil on water
Oh they lie upon her, oh
Someone's daughter

They lie upon her, oh
Oil on water"
12,bastille ,"Deep in a corner of the night
We were lying in the middle of the road
Counting the planes as they flew by
Inconceivable imagining them go
And drunk we set the world to rise
As we fell and hit our heads upon the curb
You make me laugh until I die
Can you think of any better way to choke?

Stories told to me and stories told to you
And did you ever feel like they were ringing true?

And all their words were glory
Well they all, they sounded empty
When we're looking up for heaven
Looking up for heaven
Way down here upon the ground
When we're lying in the dark
There's no looking up for heaven
Looking up for heaven

Not everything had gone to plan
But we made the best of what we had, you know
Passing the drink from hand to hand
We admit we really know nothing at all

Stories told to me and stories told to you
And was it feeling real, and they were ringing true?

And all their words were glory
Well they all, they sounded empty
When we're looking up for heaven
Looking up for heaven
Way down here upon the ground
When we're lying in the dark
There's no looking up for heaven
Looking up for heaven

I'll take my chances on the curb here with you
We watched the planes leave us behind
On the curb here with you
We watched the planes leave us behind
And, and then you put your hand in mine
And pulled me back from things divine
Stop looking up for heaven, waiting to be buried

And all their words were glory
Well they all, they sounded empty
When we're looking up for heaven
Looking up for heaven
And way down here upon the ground
When we're lying in the dark
There's no looking up for heaven
Looking up"
13,bastille ,"Staring down the barrel of a hundred tons
It might be getting older, but the night's still young
We never, never give up on the lost boy life
So here we are, escaping from the world outside

Oh, what would your mother say if she could see what we're doing now?
Oh, what would your mother say if she could hear what we talk about?

The waves are crashing down on you and me again, again, again
The waves are crashing down on you and me
I'll see you on the other side
Get carried, get carried away, oh-oh-oh-oh
Caught up in, caught up in the waves

Suddenly we're fallin' through the twilight zone
Watch the party playing out in slow motion
So tie a ribbon 'round my arm and throw me in
Is it an apocalypse or nihilism on your lips?
We sink or swim

Oh, what would your mother say if she could see what we're doing now?
Oh, what would your mother say if she could hear what we talk about?

The waves are crashing down on you and me again, again, again
The waves are crashing down on you and me
I'll see you on the other side
Get carried, get carried away, oh-oh-oh-oh
Caught up in, caught up in the waves

The air hit me on the way out
Did it make me more sober or make me more drunk?
I couldn't quite remember the vision of you and of me
The air hit me on the way out
Did it make me more sober or make me more drunk?
I couldn't quite remember the vision of you and me

The waves are crashing down on you and me again, again, again
The waves are crashing down on you and me
I'll see you on the other side
Get carried, get carried away, oh-oh-oh-oh
Caught up in, caught up in the waves

They're crashing down, they're crashing down
They're crashing down on you and me
I'll see you on the other side"
14,bastille ,"I am bound to you with a tie that we cannot break
With a night that we can't replace
I'm lost but found with you in a bed that we'll never make
It's a feeling we always chase

I could write a book about the things that you said to me on the pillow
And the way you think and how you make me feel
You can fill my mind and move my body with the fiction, fantasies
Just call this what it is, we don't pretend it's real

So don't make promises to me that you're gonna break
We only ever wanted one thing from this
Don't paint wonderful lies on me that wash away
We only ever wanted one thing from this
Oh, in another place
In another time, what could we have been?
Oh, in another place
In another time, what could we have been?

Mmm, in another time
And in another place

I hate that you know
You can make me feel so small
Can't stop myself from falling back into you
We get so close then you pull yourself away
Maybe we just need a saving
Come save me

I could write a book about the things that you said to me on the pillow
And the way you think and how you make me feel
You can fill my mind and move my body with the fiction, fantasies
Just call this what it is, we don't pretend it's real

So don't make promises to me that you're gonna break
We only ever wanted one thing from this
Don't paint wonderful lies on me that wash away
We only ever wanted one thing from this
Oh, in another place
In another time, what could we have been?
Oh, in another place
In another time, what could we have been?

It felt like something special but it never felt like love
Wonder what we could be living in another life
Catch us in the mirror and it looks a lot like love
Then you stop me talking as you kiss me from above

So don't make promises to me that you're gonna break
We only ever wanted one thing from this
Don't paint wonderful lies on me that wash away
We only ever wanted one thing from this
Oh, in another place
In another time, what could we have been?
Oh, in another place
In another time, what could we have been?

Mmm, yeah
In another time
And in another place"
15,bastille ,"Tell me a piece of your history
That you're proud to call your own
Speak in words you picked up
As you walked through life alone.
We used to swim in your stories
And be pulled down by their tide,
Choking on the words
And drowning with no air inside.

Now you've hit a wall and it's not your fault
My dear, my dear, my dear.
Now you've hit a wall and you've hit it hard,
My dear, my dear, oh dear.

It is not enough to be dumbstruck;
(Can you fill the silence?)
You must have the words in that head of yours.
And oh, oh, can you feel the silence?
I can't take it anymore,
'Cause it is not enough to be dumbstruck.
(Can you fill the silence?)

Tell me a piece of your history
That you've never said out loud.
Pull the rug beneath my feet
And shake me to the ground.
Wrap me around your fingers,
Break the silence open wide,
Before it seeps into my ears,
And fills me up from the inside.

Now you've hit a wall and you're lost for words,
My dear, my dear, my dear.
Now you've hit a wall and you hit it hard
My dear, my dear, oh dear.

It is not enough to be dumbstruck;
(Can you fill this silence?)
You must have the words in that head of yours.
And oh, oh, can you feel the silence?
I can't take it anymore,
'Cause it is not enough to be dumbstruck.
(Can you fill the silence?)

If you give it a name, then it's already won.
What you good for, what you good for?
If you give it a name, then it's already won.
What you good for, what you good for?
If you give it a name, then it's already won.
What you good for, what you good for?
If you give it a name, then it's already won.
What you good for, what you good for?

'Cause it is not enough to be dumbstruck;
(Can you fill this silence?)
You must have the words in that head of yours.
And oh, oh, can you feel the silence?
I can't take it anymore,
'Cause it is not enough to be dumbstruck, oh."
16,rolling blackouts coastal fever,"I said, ""I'm just a servant to my base desires""
She said, ""I'll tell you a few things, free of charge
Steer clear of jagged rock, tread careful at the higher level
This ain't no game, but you can play if that's what you want""

Then she said, ""We are just paper boats bobbing adrift afloat
While winds of fortune shove us where they will""
Woke up coughing on the shore, cold outcrop broken, sore
Back on the mainland, the chimps were coming up trumps

And all I saw was burning blue fading into blinding white
Wade out past the rotting pier, out to the open water
Son of a red roof city, and her, the full moon's daughter
And back on the mainland, back on the mainland
Cool change was rolling over, black sky was getting lower
On golden sand

We stared into the haze, ocean merging with sky
And talked about the land of our fore-mothers
Now that we've shut the gate, it would be funny if it
Didn't make you want to cry
This is just the bed we've woken up in

And all I saw was burning blue fading into blinding white
Wade out past the rotting pier, out to the open water
Son of a red roof city, and her, the full moon's daughter
And back on the mainland, back on the mainland
Cool change was rolling over, black sky was getting lower
Green dreams were folding over, as we sailed off the mainland

Never coming off the line
Wake up feeling fine
Her eyes under pale moonlight
Far corner of the earth
Tripping up on the edge
Big impossible now"
17,bastille ,"When all of your flaws and all of my flaws
Are laid out one by one
The wonderful part of the mess that we made
We pick ourselves undone

All of your flaws and all of my flaws
They lie there hand in hand
Ones we've inherited, ones that we learned
They pass from man to man

There's a hole in my soul
I can't fill it, I can't fill it
There's a hole in my soul
Can you fill it? Can you fill it?

You have always worn your flaws upon your sleeve
And I have always buried them deep beneath the ground
Dig them up; let's finish what we've started
Dig them up, so nothing's left untouched

All of your flaws and all of my flaws,
When they have been exhumed
We'll see that we need them to be who we are
Without them we'd be doomed

There's a hole in my soul
I can't fill it, I can't fill it
There's a hole in my soul
Can you fill it? Can you fill it?

You have always worn your flaws upon your sleeve
And I have always buried them deep beneath the ground
Dig them up; let's finish what we've started
Dig them up, so nothing's left untouched

Ooh
Ooh

When all of your flaws
And all of my flaws are counted
When all of your flaws
And all of my flaws are counted

You have always worn your flaws upon your sleeve
And I have always buried them deep beneath the ground
Dig them up. Let's finish what we've started
Dig them up. So nothing's left untouched

Ooh
Ooh

All of your flaws and all of my flaws
Are laid out one by one
Look at the wonderful mess that we made
We pick ourselves undone"
18,bastille ,"Tell me a piece of your history
That you're proud to call your own
Speak in words you picked up
As you walked through life alone.
We used to swim in your stories
And be pulled down by their tide,
Choking on the words
And drowning with no air inside.

Now you've hit a wall and it's not your fault
My dear, my dear, my dear.
Now you've hit a wall and you've hit it hard,
My dear, my dear, oh dear.

It is not enough to be dumbstruck;
(Can you fill the silence?)
You must have the words in that head of yours.
And oh, oh, can you feel the silence?
I can't take it anymore,
'Cause it is not enough to be dumbstruck.
(Can you fill the silence?)

Tell me a piece of your history
That you've never said out loud.
Pull the rug beneath my feet
And shake me to the ground.
Wrap me around your fingers,
Break the silence open wide,
Before it seeps into my ears,
And fills me up from the inside.

Now you've hit a wall and you're lost for words,
My dear, my dear, my dear.
Now you've hit a wall and you hit it hard
My dear, my dear, oh dear.

It is not enough to be dumbstruck;
(Can you fill this silence?)
You must have the words in that head of yours.
And oh, oh, can you feel the silence?
I can't take it anymore,
'Cause it is not enough to be dumbstruck.
(Can you fill the silence?)

If you give it a name, then it's already won.
What you good for, what you good for?
If you give it a name, then it's already won.
What you good for, what you good for?
If you give it a name, then it's already won.
What you good for, what you good for?
If you give it a name, then it's already won.
What you good for, what you good for?

'Cause it is not enough to be dumbstruck;
(Can you fill this silence?)
You must have the words in that head of yours.
And oh, oh, can you feel the silence?
I can't take it anymore,
'Cause it is not enough to be dumbstruck, oh."
19,bastille ,"It's a quarter past midnight
As we cut through the city
Yeah, yeah, yeah, the streets are getting restless
Good times, bad decisions
Yeah, yeah, yeah, it's a quarter past midnight
And the sirens are mending some hearts
But we're the losers on our back seats
Singing ""Love Will Tear Us Apart""
It's a quarter past midnight
Still avoiding tomorrow
It's a quarter past midnight
But we're just getting going

We keep on running
Running through a red light
Like we're trying to burn the night away
Away-way, oh, away-way, oh

This is my favorite part oh
Help me piece it all together, darling
Before it falls apart oh
Help me piece it all together

It's a quarter past midnight
And the speakers are blowing
Yeah, yeah, we want the bodies on the billboards
Not the lives underneath them
Yeah, yeah, yeah, and now we're crawling up the walls again
And it's a quarter past twelve
And you said we'd leave this place in dust
And fall from heaven straight through hell
We never know what we have
We never knew what we had

We keep on running
Running through a red light
Like we're trying to burn the night away
Away-way, oh, away-way, oh
Why are we always chasing after something
Like we trying to throw our lives away?
Away-way, oh, away-way, oh

This is my favorite part oh
Help me piece it all together, darling
Before it falls apart oh
Help me piece it all together

(I can't remember, I can't remember)
(I can't remember, I can't remember)
It's a quarter past midnight
And the secrets are flowing
Our lips are getting looser
I don't know what I'm saying
We never knew what we had
I never know what I've had

We keep on running
Running through a red light
Like we're trying to burn the night away
Away-way, oh, away-way, oh
Why are we always chasing after something
Like we trying to throw our lives away?
Away-way, oh, away-way, oh

This is my favorite part so
Help me piece it all together, darling
Before it falls apart
Help me piece it all together"
20,rolling blackouts coastal fever,"You trace your hands
Around the wheel
Your face, it shines
In the flicker of the film
It sounds like rain
I hear the beating in my heart
You want it simple
How hard you make it

Could have been stumbling
On the ancient stone
Four feet, wandering
In the eve before we
Turn inside
Turn inside
Turn inside

Buzzing overhead
Banging on and on and on

Come around, come around
Through the cold, in the warmth
Of the car, I'm the raven
I'm the keeper of your secrets
It sounds like rain
I hear the beating in my heart
You want it simple
How hard you make it

Could have been stumbling
On the ancient stone
Four feet, wandering
In the eve before we
Turn inside
Turn inside
Turn inside

Buzzing overhead
Banging on and on and on

At the intersection
Waiting on the corner
Bottom of the freeway
Before it opens up
At the intersection
Waiting on the corner
Bottom of the freeway
Before it opens up"
21,bastille ,"Rhythm is a dancer,
It's a soul'scompanion,
People feel it everywhere,
Lift your hands and voices,
Free your mind and join us,
You can feel it in the air,
Oh woah, it's a passion,
Oh oh, you can feel it yeah,
Oh oh, It's a passion,
Oh oh, oh, oh, oh,

(THIS IS THE RHYTHM)

You can put some joy up on my face,
Oh sunshine in an empty place,
Take me too, turn to and babe I'll make you stay,
(OH YEAH)
Oh I can ease you of your pain,
Feel you give me love again,
Round and round we go,
Each time I hear you say,

[Chorus:]
This is the rhythm of the night,
The night,
Oh yeah,
The rhythm of the night,
This is the rhythm of my life,
My life,
Oh yeah,
The rhythm of my life,

This is the rhythm of the night,
The night,
Oh yeah,
The rhythm of the night,
This is the rhythm of my life,
My life,
Oh yeah,
The rhythm of my life,

Wont you teach me how to love and learn,
There'll be nothing left for me to yearn,
Think of me and burn and let me hold your hand,
Oh yeah-ah-eh,
I don't want to face the world in tears,
Please think again,
I'm on my knees,
Sing that song to me,
No reason to repent,

This is the rhythm of the night,
The night,
Oh yeah,
The rhythm of the night,
This is the rhythm of my life,
My life,
Oh yeah,
The rhythm of my life,

This is the rhythm of the night,
The night,
Oh yeah,
The rhythm of the night,
This is the rhythm of my life,
My life,
Oh yeah,
The rhythm of my life,

This is the rhythm of the night,
The night,
Oh yeah,
The rhythm of the night,
This is the rhythm of my life,
My life,
Oh yeah,
The rhythm of my life,

This is the rhythm of the night,
The night,
Oh yeah."
22,bastille ,"You took me to your favourite place on Earth
To see the tree they cut down ten years from your birth.
Our fingers traced in circles round its history,
We brushed our hands right back in time through centuries.

As you held me down, you said:

""I'll see you in the future when we're older
And we are full of stories to be told.
Cross my heart and hope to die,
I'll see you with your laughter lines.""

Changes on our hands and on our faces, oh, oh
Memories are mapped out by the lines we'll trace.

As you held me down, you said:

""I'll see you in the future when we're older
And we are full of stories to be told.
Cross my heart and hope to die,
I'll see you with your laughter lines.""

Ashen faces in cold breeze,
Ashen faces in cold breeze,
All the stories you will leave,
All the stories you will leave.

I'll see you in the future when we're older
And we are full of stories to be told.
Cross my heart and hope to die,
I'll see you with your laughter lines.

I'll see you in the future when we're old.
I'll see you in the future when we're old."
23,bastille ,"3, 4

I'm the lesser of two evils
Or am I, am I tricking myself nice?
If I'm a lesser of two evils
Who's this man, who's this act I hide behind?

There are two ways to skin tonight
Let's see whose road gets there faster
This is a game, no wrongs, no right
Only a winner and a loser
You and I, oh you and I
We're not that different, you and I
Oh you and I, you and I
We're not that different, you and I

Ooh, ooh, ooh, ooh, ooh, ooh, ooh

Oh I'm the lesser of two evils
So keep looking
Just keep looking into my eyes
And as the lesser of two evils, it pays to 
Pays to be the nice guy sometimes

There are two ways to skin tonight
Let's see whose road gets there faster
Here I am hiding in plain sight
If you're not careful you will lose her
You and I, you and I
We're not that different, you and I
Oh you and I, you and I
We're not that different, you and I

You and I, you and I
We're not that different, you and I"
24,rolling blackouts coastal fever,"It was a formal kiss
It's one I'm gonna miss
I'm in the mud
Stumbling around like a sick bug
I close my eyes
To take me back
She touched my leg

I want you I want you
I want you I want you
I wanna see your smile
On a blue afternoon
I'm dreamin' of your ceiling
And the smell of your room
I want you I want you I want you

And when the afternoon sea breeze
Cuts through
Bringing with it a cool assault
I feel brand new

Every day I'm growing older
Time is all I have to hold her

I bury my seed
In the garden of teeth
I burn the tape
I lay awake"
25,bastille ,"I know you, I know you
I know you, I know you
I know you, I know you

This gonna be a heavy night
Way too many drinks, ain't even started
Never need to apologize
We already know we're far from perfect
I fall to the curb
You laugh 'til it hurts
Who cares, we've been here so many times

But we're all stumbling through the night
It doesn't matter, we're all together
And there's paradise in our minds
Falling together, arms 'round each other
I know you, know me too
We're all stumbling through the night
But it's paradise in our minds

I know you
I know you
Stumbling, I know you
I know you, I know you
Stumbling

I can barely see in front of me
Strangers start to look like friendly faces
In the middle, I'm steady on my feet (you, you, you, you)
And carrying the world is overrated
I fall to the curb
You laugh 'til it hurts
Who cares we've been here so many times

But we're all stumbling through the night
It doesn't matter, we're all together
And there's paradise in our minds
Falling together, arms 'round each other
I know you, know me too
We're all stumbling through the night
But it's paradise in our minds

I know you (I know you)
I know you (I know you)
Stumbling, I know you
I know you, I know you
Stumbling

We're all stumbling through the night
It doesn't matter, we're all together
And there's paradise in our minds
Falling together, arms 'round each other
I know you, know me too
We're all stumbling through the night
But it's paradise in our minds

I know you (I know you)
I know you (I know you)
Stumbling, I know you
I know you, I know you
Stumbling"
26,bastille ,"Previously (on other people's heartache)
What would you do?
(This is your heart)
This is the rhythm of the (you can)
Pumps through your veins, can you feel it?
Oh oh oh oh
The night, for me
Her name was Londy, she went to junior high with
A tornado flew aroun'
Icarus is flying too close to the sun
Icarus' life, it has only just begun
This is how it feels to take a fall
Icarus is flying towards an early grave"
